Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 49.02      0.75     0.75   824716     0.00     0.00  cFont::draw(std::string)
 35.29      1.29     0.54     8942     0.00     0.00  cPlayMode::update()
  3.27      1.34     0.05  2117342     0.00     0.00  std::_List_iterator<cPickup*>::operator++(int)
  1.96      1.37     0.03  1079002     0.00     0.00  c3DSModel::Draw() const
  1.63      1.40     0.03   521480     0.00     0.00  TransformPointf(float*, float*)
  1.31      1.42     0.02  4495564     0.00     0.00  std::vector<cPlayNode*, std::allocator<cPlayNode*> >::operator[](unsigned int)
  1.31      1.44     0.02     8942     0.00     0.00  cPlayTable::update()
  1.31      1.46     0.02     8942     0.00     0.00  cShip::draw()
  0.98      1.47     0.01     8941     0.00     0.00  cMonoMode::drawtrack()
  0.65      1.48     0.01 10853054     0.00     0.00  std::_List_iterator<cPickup*>::operator*() const
  0.65      1.49     0.01   187782     0.00     0.00  cPlayNode::update()
  0.65      1.50     0.01    27033     0.00     0.00  cTextPane::draw()
  0.65      1.51     0.01     8942     0.00     0.00  cPlayMode::HandleEvents()
  0.65      1.52     0.01     8941     0.00     0.00  std::iterator_traits<std::_List_const_iterator<iObject*> >::difference_type std::__distance<std::_List_const_iterator<iObject*> >(std::_List_const_iterator<iObject*>, std::_List_const_iterator<iObject*>, std::input_iterator_tag)
  0.33      1.52     0.01        1     0.01     0.01  cMonoMode::CreatePickups()
  0.33      1.53     0.01                             __tcf_0
  0.00      1.53     0.00  4495564     0.00     0.00  std::vector<std::vector<cPlayNode*, std::allocator<cPlayNode*> >, std::allocator<std::vector<cPlayNode*, std::allocator<cPlayNode*> > > >::operator[](unsigned int)
  0.00      1.53     0.00  2137525     0.00     0.00  std::_List_iterator<cPickup*>::_List_iterator(std::_List_node_base*)
  0.00      1.53     0.00  2127668     0.00     0.00  std::list<cPickup*, std::allocator<cPickup*> >::end()
  0.00      1.53     0.00  2126291     0.00     0.00  std::_List_iterator<cPickup*>::operator!=(std::_List_iterator<cPickup*> const&) const
  0.00      1.53     0.00   824901     0.00     0.00  cTexture::bind()
  0.00      1.53     0.00   533207     0.00     0.00  std::_List_iterator<iObject*>::operator*() const
  0.00      1.53     0.00   521482     0.00     0.00  TransformPoint3fv(float*, float*)
  0.00      1.53     0.00   394627     0.00     0.00  std::_List_iterator<iObject*>::_List_iterator(std::_List_node_base*)
  0.00      1.53     0.00   375067     0.00     0.00  std::_List_iterator<iObject*>::operator!=(std::_List_iterator<iObject*> const&) const
  0.00      1.53     0.00   374001     0.00     0.00  std::list<iObject*, std::allocator<iObject*> >::end()
  0.00      1.53     0.00   352447     0.00     0.00  std::_List_iterator<iObject*>::operator++(int)
  0.00      1.53     0.00   214590     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned int)
  0.00      1.53     0.00   187759     0.00     0.00  cAnimatedTexture::bind()
  0.00      1.53     0.00   184907     0.00     0.00  std::_List_const_iterator<iObject*>::operator!=(std::_List_const_iterator<iObject*> const&) const
  0.00      1.53     0.00   175967     0.00     0.00  cPickup::draw()
  0.00      1.53     0.00   175966     0.00     0.00  std::_List_const_iterator<iObject*>::operator++()
  0.00      1.53     0.00   135628     0.00     0.00  cDownPickup::update()
  0.00      1.53     0.00   135566     0.00     0.00  cPlayTable::floodfill(std::vector<std::vector<cPlayNode*, std::allocator<cPlayNode*> >, std::allocator<std::vector<cPlayNode*, std::allocator<cPlayNode*> > > >&, int, int, int, bool)
  0.00      1.53     0.00   130371     0.00     0.00  AABBCollision3D(float*, float*, float*, float*)
  0.00      1.53     0.00    39005     0.00     0.00  cScorePickup::update()
  0.00      1.53     0.00    36271     0.00     0.00  std::sin(float)
  0.00      1.53     0.00    27032     0.00     0.00  std::operator|(std::_Ios_Openmode, std::_Ios_Openmode)
  0.00      1.53     0.00    24668     0.00     0.00  std::fabs(float)
  0.00      1.53     0.00    19262     0.00     0.00  std::list<iObject*, std::allocator<iObject*> >::begin()
  0.00      1.53     0.00    18072     0.00     0.00  bool std::operator!=<char, std::char_traits<char>, std::allocator<char> >(std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, char const*)
  0.00      1.53     0.00    17889     0.00     0.00  check_errors()
  0.00      1.53     0.00    17882     0.00     0.00  std::_List_const_iterator<iObject*>::_List_const_iterator(std::_List_node_base const*)
  0.00      1.53     0.00    12429     0.00     0.00  cPacketQueue::put(AVPacket*)
  0.00      1.53     0.00    12380     0.00     0.00  cAudioFileState::audio_decode_frame(double*)
  0.00      1.53     0.00    12235     0.00     0.00  cPacketQueue::get(AVPacket*, int)
  0.00      1.53     0.00    12234     0.00     0.00  get_master_clock()
  0.00      1.53     0.00    12234     0.00     0.00  av_free_packet
  0.00      1.53     0.00    12233     0.00     0.00  cAudioFileState::get_audio_clock()
  0.00      1.53     0.00    12233     0.00     0.00  cAudioFileState::synchronize_audio(int, double)
  0.00      1.53     0.00    12229     0.00     0.00  av_q2d
  0.00      1.53     0.00    10010     0.00     0.00  std::abs(long)
  0.00      1.53     0.00     9150     0.00     0.00  draw_frame()
  0.00      1.53     0.00     8944     0.00     0.00  init_mode(long long)
  0.00      1.53     0.00     8944     0.00     0.00  std::_List_iterator<cPickup*>::_List_iterator()
  0.00      1.53     0.00     8944     0.00     0.00  std::_List_iterator<iObject*>::_List_iterator()
  0.00      1.53     0.00     8943     0.00     0.00  mPlayAudioFile::is_music_finished()
  0.00      1.53     0.00     8942     0.00     0.00  cShip::update()
  0.00      1.53     0.00     8942     0.00     0.00  cScore::update()
  0.00      1.53     0.00     8942     0.00     0.00  cScore::operator<(long)
  0.00      1.53     0.00     8942     0.00     0.00  cMonoMode::update()
  0.00      1.53     0.00     8942     0.00     0.00  cTextPane::clear()
  0.00      1.53     0.00     8942     0.00     0.00  std::list<cPickup*, std::allocator<cPickup*> >::begin()
  0.00      1.53     0.00     8941     0.00     0.00  cPlayTable::draw()
  0.00      1.53     0.00     8941     0.00     0.00  cScore::get()
  0.00      1.53     0.00     8941     0.00     0.00  cMonoMode::drawship()
  0.00      1.53     0.00     8941     0.00     0.00  cPlayMode::draw_screen()
  0.00      1.53     0.00     8941     0.00     0.00  void cTextPane::add<unsigned long>(unsigned long const&)
  0.00      1.53     0.00     8941     0.00     0.00  void cTextPane::set<unsigned long>(unsigned long const&)
  0.00      1.53     0.00     8941     0.00     0.00  std::list<iObject*, std::allocator<iObject*> >::end() const
